algorithm,var_a,var_b,correlation
DynamicProgramming,instance_id,n,0.8818934594168748
DynamicProgramming,instance_id,total_weight,0.983664939404026
DynamicProgramming,instance_id,total_value,0.9834604706176645
DynamicProgramming,instance_id,mean_weight,-0.004565222558999441
DynamicProgramming,instance_id,mean_value,0.0070179777098117145
DynamicProgramming,instance_id,median_weight,-0.0027521811673483242
DynamicProgramming,instance_id,median_value,0.023953645404841177
DynamicProgramming,instance_id,std_weight,0.16888028771173005
DynamicProgramming,instance_id,std_value,0.1588227936409751
DynamicProgramming,instance_id,min_weight,-0.5298668388595552
DynamicProgramming,instance_id,max_weight,0.5319887276500729
DynamicProgramming,instance_id,min_value,-0.48416223637146105
DynamicProgramming,instance_id,max_value,0.5031943790170372
DynamicProgramming,instance_id,weight_cv,0.05650613118693027
DynamicProgramming,instance_id,value_cv,0.038423963642710376
DynamicProgramming,instance_id,weight_skewness,0.004678444380066667
DynamicProgramming,instance_id,value_skewness,0.006781716191040201
DynamicProgramming,instance_id,weight_kurtosis,-0.2290456466899049
DynamicProgramming,instance_id,value_kurtosis,-0.19336796051371752
DynamicProgramming,instance_id,capacity_ratio,-0.06266439856313968
DynamicProgramming,instance_id,slack,0.95493266628991
DynamicProgramming,instance_id,average_fillable_items,0.3211315850343725
DynamicProgramming,instance_id,pearson_corr,-0.012715593005182671
DynamicProgramming,instance_id,spearman_corr,0.013449533449001157
DynamicProgramming,instance_id,kendall_corr,-0.046133689017013035
DynamicProgramming,instance_id,mean_ratio,-0.013040675213681328
DynamicProgramming,instance_id,median_ratio,-0.04387729916204898
DynamicProgramming,instance_id,std_ratio,0.10119673283571108
DynamicProgramming,instance_id,ratio_entropy,-0.2321827629326216
DynamicProgramming,instance_id,unique_ratio_count,0.9790116715384692
DynamicProgramming,instance_id,duplicate_ratio_fraction,0.5486176824811
DynamicProgramming,instance_id,unique_weights,0.982987744680279
DynamicProgramming,instance_id,unique_values,0.9832663627549469
DynamicProgramming,instance_id,unique_pairs,0.98007262476065
DynamicProgramming,instance_id,duplicate_items,0.6781014739508775
DynamicProgramming,instance_id,duplicate_pairs,0.6772892112279001
DynamicProgramming,instance_id,time_millis,0.5129323207964827
DynamicProgramming,instance_id,memory_bytes,0.425238463738747
DynamicProgramming,instance_id,memory_mb,0.4252435081665497
DynamicProgramming,instance_id,solution_value,0.5299477821912969
DynamicProgramming,instance_id,optimal_value,0.5299477821912969
DynamicProgramming,instance_id,nodes_generated,0.6237081911027187
DynamicProgramming,instance_id,internal_nodes,0.6124594415465993
DynamicProgramming,instance_id,max_depth,0.7980353545803108
DynamicProgramming,instance_id,mean_depth,0.7225099183287937
DynamicProgramming,instance_id,median_depth,0.7066940133796573
DynamicProgramming,instance_id,mean_queue_size,0.5685186256909956
DynamicProgramming,instance_id,final_queue_size,0.25171025711909617
DynamicProgramming,instance_id,mean_bound,0.5299653788061589
DynamicProgramming,instance_id,bound_variance,-0.28372657050243244
DynamicProgramming,instance_id,min_bound,0.530390882563052
DynamicProgramming,instance_id,max_bound,0.5299660419726409
DynamicProgramming,instance_id,mean_bound_gap,-0.0015299869173590421
DynamicProgramming,instance_id,bound_gap_variance,0.1278647892369904
DynamicProgramming,instance_id,pruned_by_bound,0.0586170121316431
DynamicProgramming,instance_id,pruned_by_cap,0.2517322950785143
DynamicProgramming,instance_id,left_branches,0.5370181885574187
DynamicProgramming,instance_id,right_branches,0.6197706246465176
DynamicProgramming,instance_id,explored_children,0.6199866919444389
DynamicProgramming,instance_id,skipped_children,0.5622207143732946
DynamicProgramming,instance_id,skipped_infeasible,0.48960758973286256
DynamicProgramming,instance_id,skipped_by_bound,0.22260096265944218
DynamicProgramming,instance_id,improvement_count,0.5538705419038686
DynamicProgramming,instance_id,sum_improvement_amount,0.4321035372570833
DynamicProgramming,instance_id,mean_improvement_amount,-0.007551712801533921
DynamicProgramming,instance_id,last_improvement_node,0.1661146572988572
DynamicProgramming,instance_id,pruned_generated_ratio,-0.030163922364491377
DynamicProgramming,instance_id,avg_branching_factor,0.2716642363372622
DynamicProgramming,instance_id,capacity_density,-0.06173174901376958
DynamicProgramming,instance_id,cells_allocated,0.3222647546657667
DynamicProgramming,instance_id,total_evaluations,0.6576441744652313
DynamicProgramming,instance_id,include_count,0.4869405319682133
DynamicProgramming,instance_id,exclude_count,0.7370576013690604
DynamicProgramming,instance_id,tie_count,0.5417428318857561
DynamicProgramming,instance_id,include_ratio,-0.3121760729956482
DynamicProgramming,instance_id,nonzero_value_states,0.32526538170771635
DynamicProgramming,instance_id,zero_value_states,-0.7407134068823655
DynamicProgramming,instance_id,fill_rate,0.41088221551595494
DynamicProgramming,instance_id,mean_cell_value,0.4952485759323536
DynamicProgramming,instance_id,cell_value_variance,0.48139641999257504
DynamicProgramming,instance_id,dp_sum_improvement_amount,0.38563670280388684
DynamicProgramming,instance_id,dp_mean_improvement_amount,-0.1833063617776304
DynamicProgramming,instance_id,updates_per_cell,0.6841022738055933
DynamicProgramming,instance_id,selected_count,0.5555899531131707
DynamicProgramming,instance_id,solution_density,-0.14767150295512096
DynamicProgramming,instance_id,residual_capacity,-0.16734799509627554
DynamicProgramming,instance_id,capacity_utilization,0.41683210973421847
DynamicProgramming,instance_id,last_selected_position,0.6457222609722303
DynamicProgramming,instance_id,first_skipped_position,0.5532545663795719
DynamicProgramming,instance_id,log_time_millis,0.7044554211875038
DynamicProgramming,instance_id,log_memory_mb,0.04447370271908749
DynamicProgramming,instance_id,AlmostEqualRatios,0.11547006025292865
DynamicProgramming,instance_id,InverseCorrelated,0.05773503012646438
DynamicProgramming,instance_id,StronglyCorrelated,2.0366654465523009e-16
DynamicProgramming,instance_id,WeaklyCorrelated,-0.0577350301264644
DynamicProgramming,instance_id,log_n,0.9850387068117942
DynamicProgramming,n,total_weight,0.8911585027029661
DynamicProgramming,n,total_value,0.8906479811501963
DynamicProgramming,n,mean_weight,-0.0003057097834765226
DynamicProgramming,n,mean_value,0.004140566365516933
DynamicProgramming,n,median_weight,0.005094316645962669
DynamicProgramming,n,median_value,0.01480104513534733
DynamicProgramming,n,std_weight,0.12221168826949637
DynamicProgramming,n,std_value,0.11326469187106955
DynamicProgramming,n,min_weight,-0.376811531547718
DynamicProgramming,n,max_weight,0.37587992066621506
DynamicProgramming,n,min_value,-0.3427677389982856
DynamicProgramming,n,max_value,0.36110505329135956
DynamicProgramming,n,weight_cv,0.040061122745695746
DynamicProgramming,n,value_cv,0.028747029914918863
DynamicProgramming,n,weight_skewness,-0.0015925608719249366
DynamicProgramming,n,value_skewness,-0.001319490303154483
DynamicProgramming,n,weight_kurtosis,-0.16142657521221396
DynamicProgramming,n,value_kurtosis,-0.14028979064888197
DynamicProgramming,n,capacity_ratio,-0.044109970018616045
DynamicProgramming,n,slack,0.8628170353211042
DynamicProgramming,n,average_fillable_items,0.2910807936705485
DynamicProgramming,n,pearson_corr,-0.0014806412176522888
DynamicProgramming,n,spearman_corr,0.02021513501742397
DynamicProgramming,n,kendall_corr,-0.013995993858123555
DynamicProgramming,n,mean_ratio,-0.008387792585048612
DynamicProgramming,n,median_ratio,-0.039027040856607756
DynamicProgramming,n,std_ratio,0.09468557742849455
DynamicProgramming,n,ratio_entropy,-0.27576785682494376
DynamicProgramming,n,unique_ratio_count,0.8838880665049031
DynamicProgramming,n,duplicate_ratio_fraction,0.5326005271592931
DynamicProgramming,n,unique_weights,0.8646752389731782
DynamicProgramming,n,unique_values,0.865304217477955
DynamicProgramming,n,unique_pairs,0.8850652713584389
DynamicProgramming,n,duplicate_items,0.5810631153912573
DynamicProgramming,n,duplicate_pairs,0.5797359352291738
DynamicProgramming,n,time_millis,0.6299496763470088
DynamicProgramming,n,memory_bytes,0.5732528317983963
DynamicProgramming,n,memory_mb,0.5732867774125825
DynamicProgramming,n,solution_value,0.6035528192541596
DynamicProgramming,n,optimal_value,0.6035528192541596
DynamicProgramming,n,nodes_generated,0.5616596914380786
DynamicProgramming,n,internal_nodes,0.5488173282385111
DynamicProgramming,n,max_depth,0.8839838467212954
DynamicProgramming,n,mean_depth,0.802517869941855
DynamicProgramming,n,median_depth,0.7891091328097437
DynamicProgramming,n,mean_queue_size,0.5238424409305786
DynamicProgramming,n,final_queue_size,0.2960291830921995
DynamicProgramming,n,mean_bound,0.6035615760252301
DynamicProgramming,n,bound_variance,-0.22239606767523634
DynamicProgramming,n,min_bound,0.6039189396847712
DynamicProgramming,n,max_bound,0.6035654003308277
DynamicProgramming,n,mean_bound_gap,0.035752738424907594
DynamicProgramming,n,bound_gap_variance,0.1395407949541485
DynamicProgramming,n,pruned_by_bound,-0.008608492444722777
DynamicProgramming,n,pruned_by_cap,0.2965633174851107
DynamicProgramming,n,left_branches,0.49786911184520866
DynamicProgramming,n,right_branches,0.5541609072697932
DynamicProgramming,n,explored_children,0.5587811853328539
DynamicProgramming,n,skipped_children,0.4987934062611494
DynamicProgramming,n,skipped_infeasible,0.4320011522365736
