feature,coefficient,abs_coef
duplicate_pairs,3.729551477067956,3.729551477067956
average_fillable_items,1.798128315315865,1.798128315315865
max_value,-1.1221388202966822,1.1221388202966822
unique_pairs,0.9006616290962782,0.9006616290962782
duplicate_ratio_fraction,0.6549659698997977,0.6549659698997977
value_cv,-0.5300990972808598,0.5300990972808598
spearman_corr,0.44865824886712397,0.44865824886712397
median_value,-0.4134503379632208,0.4134503379632208
mean_ratio,0.3541282426725819,0.3541282426725819
median_ratio,-0.2967369158353955,0.2967369158353955
mean_value,0.2714668078840798,0.2714668078840798
min_value,0.26795552098772396,0.26795552098772396
unique_weights,0.13879566510411875,0.13879566510411875
ratio_entropy,0.09132095074456445,0.09132095074456445
